set,metric,group,n,d,value,note
A,pipeline_derived_agreement,AUDITABLE_DERIVED,5,6,83.3,valid result -- only validly-annotated Set A subset
A,pipeline_disagreement,A003,,,,city=dublin auto=AUDITABLE_DERIVED mine=UNCLEAR note=(no note)
A,baseline_not_validly_annotated,A010,,,,city=london stratum=AUDITABLE_DERIVED first_pass_label=UNCLEAR redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A033,,,,city=brighton stratum=AUDITABLE_DERIVED first_pass_label=NOT_MACHINE_AUDITABLE redo_label=NOT_MACHINE_AUDITABLE reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A043,,,,city=barcelona stratum=AUDITABLE_DERIVED first_pass_label=NOT_MACHINE_AUDITABLE redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A045,,,,city=london stratum=AUDITABLE_DERIVED first_pass_label=NOT_MACHINE_AUDITABLE redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A007,,,,city=milan stratum=AUDITABLE_DIRECT first_pass_label=NOT_MACHINE_AUDITABLE redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A019,,,,city=brighton stratum=AUDITABLE_DIRECT first_pass_label=NOT_MACHINE_AUDITABLE redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A028,,,,city=dublin stratum=AUDITABLE_DIRECT first_pass_label=UNCLEAR redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A034,,,,city=milan stratum=AUDITABLE_DIRECT first_pass_label=UNCLEAR redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A005,,,,city=brighton stratum=NOT_MACHINE_AUDITABLE first_pass_label=NOT_MACHINE_AUDITABLE redo_label=NOT_MACHINE_AUDITABLE reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A011,,,,city=london stratum=NOT_MACHINE_AUDITABLE first_pass_label=NOT_MACHINE_AUDITABLE redo_label=NOT_MACHINE_AUDITABLE reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A022,,,,city=barcelona stratum=NOT_MACHINE_AUDITABLE first_pass_label=UNCLEAR redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A024,,,,city=milan stratum=NOT_MACHINE_AUDITABLE first_pass_label=UNCLEAR redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A035,,,,city=barcelona stratum=NOT_MACHINE_AUDITABLE first_pass_label=UNCLEAR redo_label=UNCLEAR reason=evidence_base(screening_ledger)_never_shown_to_annotator
A,baseline_not_validly_annotated,A036,,,,city=milan stratum=NOT_MACHINE_AUDITABLE first_pass_label=NOT_MACHINE_AUDITABLE redo_label=NOT_MACHINE_AUDITABLE reason=evidence_base(screening_ledger)_never_shown_to_annotator
