city,condition,representative_images,map_present,map_alt_text,map_caption,coordinate_map,administrative_choropleth,district_chart_present,district_chart_caption,district_basis,district_basis_evidence,images_with_direct_source_link,images_with_literal_url_displayed,notes
barcelona,full,4,True,FSI locations in Barcelona,"Figure: Food Sharing Initiative locations across Barcelona. Districts coloured by FSI density: green = high, yellow = medium, red = low.",False,True,True,FSIs by district,administrative_boundary_geometry,"src/phase_5/map_renderer.py:render_map() loads cfg['districts_file'] via geopandas and plots those polygons; src/phase_5/data_extractor.py's district_counts and the bar chart both key off record['location']['district_name'], which src/phase_2/geofencer.py assigns via point-in-polygon against the same districts.geojson -- map and district chart share one administrative-boundary-derived grouping, not page-stated or coordinate-only grouping.",4,4,Map alt/caption describe 'FSI locations' but the rendered map is a district-density choropleth (no individual FSI point markers are plotted) -- see district_basis_evidence.
barcelona,baseline_v2,0,True,Coordinate map of retained FSIs in Barcelona,Coordinate map of 45 retained records with complete submitted latitude and longitude values. District labels summarize page-stated locations and coordinate clusters.,True,False,True,"Retained FSI counts by Barcelona district, using page-stated neighbourhoods/addresses and the submitted coordinates where needed.",page_stated_or_coordinate_derived,"Per this report's own district-chart caption (verbatim): 'Retained FSI counts by Barcelona district, using page-stated neighbourhoods/addresses and the submitted coordinates where needed.'",0,0,0 representative image figure(s) found (identified by alt text NOT matching the coordinate-map/bar-chart/donut-chart pattern; this report's figure CSS classes are not comparable across cities -- see module docstring).
brighton,full,4,True,FSI locations in Brighton & Hove,"Figure: Food Sharing Initiative locations across Brighton & Hove. Districts coloured by FSI density: green = high, yellow = medium, red = low.",False,True,True,FSIs by district,administrative_boundary_geometry,"src/phase_5/map_renderer.py:render_map() loads cfg['districts_file'] via geopandas and plots those polygons; src/phase_5/data_extractor.py's district_counts and the bar chart both key off record['location']['district_name'], which src/phase_2/geofencer.py assigns via point-in-polygon against the same districts.geojson -- map and district chart share one administrative-boundary-derived grouping, not page-stated or coordinate-only grouping.",4,4,Map alt/caption describe 'FSI locations' but the rendered map is a district-density choropleth (no individual FSI point markers are plotted) -- see district_basis_evidence.
brighton,baseline_v2,4,True,Coordinate map of retained Brighton and Hove FSIs,Map uses the exact supplied coordinates for the 15 retained rows with both latitude and longitude. Repeated coordinates are aggregated into larger bubbles; row numbers refer to the Screening Ledger.,True,False,True,District bars use broad coordinate-derived zones because the input supplies no administrative boundaries. Nine retained rows without a complete coordinate pair are excluded from these bars.,page_stated_or_coordinate_derived,Per this report's own district-chart caption (verbatim): 'District bars use broad coordinate-derived zones because the input supplies no administrative boundaries. Nine retained rows without a complete coordinate pair are excluded from these bars.',4,0,4 representative image figure(s) found (identified by alt text NOT matching the coordinate-map/bar-chart/donut-chart pattern; this report's figure CSS classes are not comparable across cities -- see module docstring).
dublin,full,4,True,FSI locations in Dublin,"Figure: Food Sharing Initiative locations across Dublin. Districts coloured by FSI density: green = high, yellow = medium, red = low.",False,True,True,FSIs by district,administrative_boundary_geometry,"src/phase_5/map_renderer.py:render_map() loads cfg['districts_file'] via geopandas and plots those polygons; src/phase_5/data_extractor.py's district_counts and the bar chart both key off record['location']['district_name'], which src/phase_2/geofencer.py assigns via point-in-polygon against the same districts.geojson -- map and district chart share one administrative-boundary-derived grouping, not page-stated or coordinate-only grouping.",4,4,Map alt/caption describe 'FSI locations' but the rendered map is a district-density choropleth (no individual FSI point markers are plotted) -- see district_basis_evidence.
dublin,baseline_v2,4,True,Coordinate map of retained Dublin FSIs,Map of retained initiatives using the supplied approximate coordinates. Community Roots is not plotted because its CSV latitude is missing; its visited page places it in Dublin 8.,True,False,True,Retained FSI count by postal district. Page-stated districts were preferred; neighbourhood and supplied-coordinate inference was used where a page did not state a district.,page_stated_or_coordinate_derived,Per this report's own district-chart caption (verbatim): 'Retained FSI count by postal district. Page-stated districts were preferred; neighbourhood and supplied-coordinate inference was used where a page did not state a district.',4,0,4 representative image figure(s) found (identified by alt text NOT matching the coordinate-map/bar-chart/donut-chart pattern; this report's figure CSS classes are not comparable across cities -- see module docstring).
london,full,4,True,FSI locations in London,"Figure: Food Sharing Initiative locations across London. Districts coloured by FSI density: green = high, yellow = medium, red = low.",False,True,True,FSIs by district,administrative_boundary_geometry,"src/phase_5/map_renderer.py:render_map() loads cfg['districts_file'] via geopandas and plots those polygons; src/phase_5/data_extractor.py's district_counts and the bar chart both key off record['location']['district_name'], which src/phase_2/geofencer.py assigns via point-in-polygon against the same districts.geojson -- map and district chart share one administrative-boundary-derived grouping, not page-stated or coordinate-only grouping.",4,4,Map alt/caption describe 'FSI locations' but the rendered map is a district-density choropleth (no individual FSI point markers are plotted) -- see district_basis_evidence.
london,baseline_v2,4,True,Coordinate map of retained London food sharing initiatives,Coordinate map using the submitted latitude and longitude values only. Numbers are the original CSV row numbers; the map excludes retained rows with missing coordinates and the London Freedom Seed Bank record whose submitted coordinate lies outside London.,True,False,True,District or borough counts are derived from the supplied coordinates and page-stated locations for the 27 retained initiatives assignable to one local district. Six citywide or multi-borough initiatives are excluded from this bar chart rather than forced into one district.,page_stated_or_coordinate_derived,Per this report's own district-chart caption (verbatim): 'District or borough counts are derived from the supplied coordinates and page-stated locations for the 27 retained initiatives assignable to one local district. Six citywide or multi-borough initiatives are excluded from this bar chart rather than forced into one district.',0,0,4 representative image figure(s) found (identified by alt text NOT matching the coordinate-map/bar-chart/donut-chart pattern; this report's figure CSS classes are not comparable across cities -- see module docstring).
milan,full,4,True,FSI locations in Milan,"Figure: Food Sharing Initiative locations across Milan. Districts coloured by FSI density: green = high, yellow = medium, red = low.",False,True,True,FSIs by district,administrative_boundary_geometry,"src/phase_5/map_renderer.py:render_map() loads cfg['districts_file'] via geopandas and plots those polygons; src/phase_5/data_extractor.py's district_counts and the bar chart both key off record['location']['district_name'], which src/phase_2/geofencer.py assigns via point-in-polygon against the same districts.geojson -- map and district chart share one administrative-boundary-derived grouping, not page-stated or coordinate-only grouping.",4,4,Map alt/caption describe 'FSI locations' but the rendered map is a district-density choropleth (no individual FSI point markers are plotted) -- see district_basis_evidence.
milan,baseline_v2,4,True,Coordinate map of retained Milan FSIs,Coordinate map based only on the latitude and longitude values supplied in the CSV. Labels are original CSV row numbers; three retained rows lack complete latitude values and are not plotted.,True,False,True,Counts by inferred neighbourhood/district grouping derived from page-stated locations and submitted coordinates; these are analytical groupings rather than official administrative boundaries.,page_stated_or_coordinate_derived,Per this report's own district-chart caption (verbatim): 'Counts by inferred neighbourhood/district grouping derived from page-stated locations and submitted coordinates; these are analytical groupings rather than official administrative boundaries.',0,0,4 representative image figure(s) found (identified by alt text NOT matching the coordinate-map/bar-chart/donut-chart pattern; this report's figure CSS classes are not comparable across cities -- see module docstring).
