city,system,check,section_heading,sentence,detail,VERDICT,NOTE
barcelona,pipeline,CS-5,Geographic Distribution,"However, the absence of per capita data limits analysis of initiative density relative to population size, leaving questions about equity in resource distribution unanswered.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data."
brighton,pipeline,CS-5,Geographic Distribution,"The absence of per capita FSI density data, due to reliance on census population figures, limits deeper analysis of equity in initiative distribution.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data."
brighton,pipeline,CS-5,Geographic Distribution,"The absence of per capita FSI density data, due to reliance on census population figures, limits deeper analysis of equity in initiative distribution.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data."
dublin,pipeline,CS-5,Geographic Distribution,"The absence of per capita FSI density data limits deeper analysis of equity in access, but the stark contrast between districts with 15 FSIs and those with only 1 implies uneven resource allocation or differing community engagement levels.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data."
dublin,pipeline,CS-2,Types of Food Sharing Initiatives,"Over half (33) of these initiatives emphasize sustainability, and 31 incorporate educational components, highlighting a strong alignment with environmental and learning objectives.",keyword 'Over half' near 33 -> 47.83% of total=69 (<=50%),TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per 1,000 residents' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'population of 220,000' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per 1,000 residents' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'population of 330,000' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-5,Geographic Distribution,"For instance, Westminster’s 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000), whereas Lewisham’s single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000), though per capita metrics remain unverified due to data gaps.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",TP,
london,pipeline,CS-2,Operational and Funding Models,"London hosts 106 Food Sharing Initiatives (FSIs), with the majority (43) being community-led grassroots efforts and 104 operating on a non-commercial basis, relying on voluntary or charitable work.",keyword 'majority' near 43 -> 40.57% of total=106 (<=50%),TP,
milan,pipeline,CS-4,Geographic Distribution,"Milan hosts 147 Food Sharing Initiatives (FSIs) across nine postal districts, with the highest concentrations in Municipio 1 (28 FSIs), Municipio 5 (22 FSIs), and Municipio 9 (15 FSIs), which collectively account for 34% of all initiatives.","constituents (28+22+15)=sum 65, total=147: predicted 44.22%, claimed 34%, diff 10.22pp (tol 0.55pp)",TP,
milan,pipeline,CS-5,Geographic Distribution,"This gradient suggests a correlation between district classification and initiative density, though the data gap regarding per capita FSI density—dependent on census population data—limits conclusions about equity in access.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data."
milan,pipeline,CS-5,Geographic Distribution,"This gradient suggests a correlation between district classification and initiative density, though the data gap regarding per capita FSI density—dependent on census population data—limits conclusions about equity in access.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",FP,"the sentence does not produce a number, or any claim, it states what it should which is it can not compute because of lack of per capita in the data."
milan,pipeline,CS-2,Types of Food Sharing Initiatives,"Over half of all FSIs (71, 48.3%) incorporate sustainability as a core focus, while 24 (16.3%) integrate educational components, reflecting a growing emphasis on environmental and social learning.",keyword 'Over half' near 71 -> 48.30% of total=147 (<=50%),TP,
milan,pipeline,CS-2,Reach and Activity,"Milan hosts 104 high-activity food sharing initiatives (FSIs), representing the majority of all quantified FSIs in the city, while 43 low-activity FSIs remain operational, indicating a stark disparity in engagement levels.",keyword 'majority' near 43 -> 29.25% of total=147 (<=50%),TP,
milan,pipeline,CS-2,Reach and Activity,"Among target audiences, elderly-focused initiatives are most prevalent, with 32 FSIs explicitly mentioning this group, followed by students (14) and general audiences (8), while only 2 FSIs target children.",keyword 'most' near 32 -> 21.77% of total=147 (<=50%),TP,
barcelona,b1,CS-5,Geographic Distribution,"However, the absence of per capita FSI density data limits deeper analysis of whether these numbers reflect population size or other factors.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",,
barcelona,b1,CS-2,Types of Food Sharing Initiatives,"Community gardens (41, 17.3%) and food-sharing platforms (33, 13.9%) form the next most common types, indicating a focus on localized food production and redistribution.",keyword 'most' near 13.9% -> 13.90% of total=237 (<=50%),,
barcelona,b1,CS-2,Reach and Activity,"Target audiences are broadly defined, with general public (23 FSIs) and elderly individuals (36 FSIs) being the most frequently cited groups, followed by low-income populations (8 FSIs), students (2 FSIs), and children (3 FSIs).",keyword 'most' near 36 -> 15.19% of total=237 (<=50%),,
brighton,b1,CS-5,Geographic Distribution,"The use of official postcode boundary polygons and GPS coordinates ensures precise spatial analysis, though data gaps remain in per capita FSI density due to the absence of census population data.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",,
brighton,b1,CS-5,Geographic Distribution,"The use of official postcode boundary polygons and GPS coordinates ensures precise spatial analysis, though data gaps remain in per capita FSI density due to the absence of census population data.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",,
brighton,b1,CS-5,Geographic Distribution,"However, without per capita data, it remains unclear whether BN2’s high numbers reflect greater need, higher participation, or simply larger population size.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",,
brighton,b1,CS-1,Types of Food Sharing Initiatives,"Among sub-groups, food_sharing initiatives are most likely to combine sustainability and educational elements, as 34 of the 51 (66.7%) have sustainability focus and 36 of the 51 (70.6%) include educational components.","stated 51 (70.6%) vs report total=76: predicted 67.11%, diff 3.49pp (tol 0.55pp)",,
brighton,b1,CS-1,Types of Food Sharing Initiatives,"In contrast, food_bank initiatives, though fewer in number, are less likely to prioritise sustainability (only 2 of 8, 25%) but more likely to focus on immediate food distribution.","stated 8 (25%) vs report total=76: predicted 10.53%, diff 14.47pp (tol 0.55pp)",,
brighton,b1,CS-1,Types of Food Sharing Initiatives,"Community_garden initiatives, meanwhile, show a higher overlap with sustainability (6 of 8, 75%) but lower integration of educational components (4 of 8, 50%).","stated 8 (75%) vs report total=76: predicted 10.53%, diff 64.47pp (tol 0.55pp)",,
brighton,b1,CS-1,Types of Food Sharing Initiatives,"Community_garden initiatives, meanwhile, show a higher overlap with sustainability (6 of 8, 75%) but lower integration of educational components (4 of 8, 50%).","stated 8 (50%) vs report total=76: predicted 10.53%, diff 39.47pp (tol 0.55pp)",,
dublin,b1,CS-5,Geographic Distribution,"The absence of per capita FSI density data limits deeper analysis of equity in access, though the clustering in green districts aligns with patterns observed in other European cities where FSIs thrive in densely populated zones.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",,
dublin,b1,CS-2,Types of Food Sharing Initiatives,"Dublin hosts 69 Food Sharing Initiatives (FSIs), with the majority (34, or 49.3%) focused on food_sharing, followed by community_gardens (25, or 36.2%).",keyword 'majority' near 34 -> 49.28% of total=69 (<=50%),,
london,b1,CS-5,Geographic Distribution,"This disparity suggests that FSIs are more prevalent in areas with higher population densities, though the lack of per capita data limits deeper analysis of equity in access.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",,
london,b1,CS-5,Geographic Distribution,The absence of census-based population data further complicates assessments of FSI reach and impact across different demographic groups.,"matched forbidden-basis phrase: 'census' (src/phase_5/text_synthesizer.py:38,109)",,
milan,b1,CS-4,Geographic Distribution,"Milan hosts 147 Food Sharing Initiatives (FSIs) across its nine postal districts, with the highest concentrations found in Municipio 1 (28 FSIs), Municipio 5 (22 FSIs), and Municipio 9 (15 FSIs), which together account for 34% of all FSIs in the city.","constituents (28+22+15)=sum 65, total=147: predicted 44.22%, claimed 34%, diff 10.22pp (tol 0.55pp)",,
milan,b1,CS-5,Geographic Distribution,"The spatial clustering of FSIs in green districts suggests a correlation between urban density and the prevalence of such initiatives, though this relationship remains unquantified due to missing per capita data.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",,
milan,b1,CS-5,Geographic Distribution,"The absence of districts with only one FSI highlights a citywide trend of clustered rather than isolated initiatives, though the lack of population data prevents analysis of per capita participation rates.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",,
milan,b1,CS-2,Types of Food Sharing Initiatives,"Milan hosts 147 Food Sharing Initiatives (FSIs), with the majority (50, or 34.0%) categorized as ""other,"" reflecting a broad and diverse range of activities beyond formal food redistribution.",keyword 'majority' near 50 -> 34.01% of total=147 (<=50%),,
,,,,,,,
