id,city,section,quoted_claim,stated_value,correct_value,error_type,basis,VERDICT,MY_NOTE
M01,milan,Geographic,"Municipio 1 (28), 5 (22), 9 (15) ... collectively account for 34% of all initiatives",34%,44.2%,misattributed_value,28+22+15=65; 65/147=44.2%. 34% is the 'other' type share from the donut.,TP,
M02,milan,Geographic,yellow districts averaging 14 FSIs per district and red districts averaging 11,14 / 11,13.3 / 10.0,derived_incorrect,"Yellow=14,14,12 -> 13.3; Red=11,11,8 -> 10.0",FP,It is fine because red means lower than yellow
M03,milan,Types,food banks (26) outnumber community gardens (17) by 34.0% to 11.6%,34.0%,17.7%,misattributed_value,26/147=17.7%. 34% is again the 'other' share.,TP,11.6% for the 17 community gardens is correct but 34% for 26 foodbanks is incorrect
M04,milan,Notable,24% of all FSIs (34/147) operate in districts with the highest FSI density,24% / 34,23.1% / 65,derived_incorrect,"34/147=23.1%; the three high-density districts hold 65 FSIs, not 34.",FP,
M05,milan,Operational,"none are volunteer-based [vs] 141 non-commercial, encompassing voluntary and charitable efforts",-,-,internal_contradiction,Semantic contradiction within one paragraph.,TP,
M06,milan,Geographic,No district has fewer than eight FSIs,-,-,scope_error,True of charted districts only; 12 FSIs fall outside all district polygons.,FP,"It is true based on the chart, the 12 FSIs falling outside all district polygons have not been counted for in the report as it should be based on what the map shows."
M07,london,Geographic,"nine districts ... each host only one FSI [vs] three districts - Lewisham, Barnet, and Sutton - each have only one FSI",nine / three,-,internal_contradiction,"Direct self-contradiction, same section, two paragraphs apart. FLAGSHIP ERROR.",TP,
M08,london,Geographic,These top three districts account for 49.1% of all FSIs,49.1%,47.2%,misattributed_value,"33+10+7=50; 50/106=47.2%. 49.1% corresponds to 52, the educational-component count.",TP,
M09,london,Geographic,Green districts ... collectively host 54.7% of all FSIs,54.7%,47.2%,internal_contradiction,Same three districts just stated as 49.1%.,TP,
M10,london,Geographic,"Westminster's 33 FSIs equate to 1.5 initiatives per 1,000 residents (assuming a population of 220,000)",1.5,0.15,invented_basis_and_arithmetic,"Population invented (prompt forbids); 33/220000*1000=0.15, off by 10x.",TP,
M11,london,Geographic,"Lewisham's single FSI represents 0.004 initiatives per 1,000 residents (assuming a population of 330,000)",0.004,0.003,invented_basis_and_arithmetic,Population invented; 1/330000*1000=0.003.,TP,
M12,london,Types,63 FSIs (59.4%) ... significantly higher than the 52% with educational components,52%,49.1%,count_percent_conflation,"52 is a count (49.1%), not a percentage.",TP,
M13,london,Operational,the majority (43) being community-led grassroots,majority,40.6%,quantifier_error,43/106=40.6%. Not a majority.,TP,
M14,london,Notable,52 FSIs with educational components outnumber those without,-,-,derived_incorrect,106-52=54. False.,TP,
M15,london,Notable,Westminster's 33 FSIs represent over a third of London's total,over a third,31.1%,derived_incorrect,33/106=31.1%.,TP,
M16,london,Geographic,"red districts, despite comprising 40.5% of the 22 districts",40.5%,-,nonsensical_quantity,40.5% of 22 = 8.9 districts.,FP,the real number is 9 so it can assume that 8.9 is correct
M17,dublin,Geographic,"Green districts ... collectively host 37 FSIs, or 54% of the total",37 / 54%,32 / 46.4%,internal_contradiction,15+12+5=32. Notable Initiatives section states 32 for the same districts.,FP,"The claim is correct and number 37 is correct based on the claim of green districts - the text says INCLUDING Dublin1, Dublin2 and Dublin 12. Dublin 8 is also green and has 8 districts which in total leads to 37 FSIs in green districts."
M18,dublin,Types,Over half (33) of these initiatives emphasize sustainability,over half,47.8%,quantifier_error,33/69=47.8%.,TP,
