city,system,section_heading,sentence,raw_number,parsed_value,is_percentage,label,justification
barcelona,pipeline,Geographic Distribution,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations found in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.",237,237.0,False,AUDITABLE_DIRECT,exact match to evidence value 237
barcelona,pipeline,Geographic Distribution,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations found in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.",10,10.0,False,AUDITABLE_DIRECT,exact match to evidence value 10
barcelona,pipeline,Geographic Distribution,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations found in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.",45,45.0,False,AUDITABLE_DIRECT,exact match to evidence value 45
barcelona,pipeline,Geographic Distribution,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations found in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.",31,31.0,False,AUDITABLE_DIRECT,exact match to evidence value 31
barcelona,pipeline,Geographic Distribution,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations found in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.",29,29.0,False,AUDITABLE_DIRECT,exact match to evidence value 29
barcelona,pipeline,Geographic Distribution,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations found in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.",44%,44.0,True,AUDITABLE_DERIVED,105/237(total)*100=44.30 (within 0.55pp of 44)
barcelona,pipeline,Geographic Distribution,"These three districts, classified as ""green"" (high-density), collectively host 105 FSIs, reflecting a stark contrast with the ""red"" (low-density) districts of Les Corts (11), Nou Barris (7), and Sant Andreu (6), which together host only 24 FSIs.",105,105.0,False,AUDITABLE_DIRECT,exact match to evidence value 105
barcelona,pipeline,Geographic Distribution,"These three districts, classified as ""green"" (high-density), collectively host 105 FSIs, reflecting a stark contrast with the ""red"" (low-density) districts of Les Corts (11), Nou Barris (7), and Sant Andreu (6), which together host only 24 FSIs.",11,11.0,False,AUDITABLE_DIRECT,exact match to evidence value 11
barcelona,pipeline,Geographic Distribution,"These three districts, classified as ""green"" (high-density), collectively host 105 FSIs, reflecting a stark contrast with the ""red"" (low-density) districts of Les Corts (11), Nou Barris (7), and Sant Andreu (6), which together host only 24 FSIs.",7,7.0,False,AUDITABLE_DIRECT,exact match to evidence value 7
barcelona,pipeline,Geographic Distribution,"These three districts, classified as ""green"" (high-density), collectively host 105 FSIs, reflecting a stark contrast with the ""red"" (low-density) districts of Les Corts (11), Nou Barris (7), and Sant Andreu (6), which together host only 24 FSIs.",6,6.0,False,AUDITABLE_DIRECT,exact match to evidence value 6
