city,condition,replicate,section,check_type,matched_sentence,detail,label,verification_status
barcelona,full,1,Geographic Distribution,CS-5,"The absence of per capita density metrics limits the ability to assess the relative impact of FSIs in different districts, as higher counts in Green areas could be due to both greater need and greater capacity.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,full,1,Types of Food Sharing Initiatives,CS-2,"The most specific types include ""food_sharing"" (33, 13.9%) and ""meals_service"" (17, 7.2%), reflecting a focus on redistributing surplus food and providing meals to vulnerable groups.",keyword 'most' near 33 -> 13.92% of total=237 (<=50%),CANDIDATE,UNVERIFIED
barcelona,full,1,Types of Food Sharing Initiatives,CS-2,"Over half of all FSIs (105, 44.3%) organize events or workshops, highlighting a significant emphasis on community engagement and outreach activities.",keyword 'Over half' near 105 -> 44.30% of total=237 (<=50%),CANDIDATE,UNVERIFIED
barcelona,full,1,Reach and Activity,CS-2,"Among target audiences, elderly individuals are most frequently mentioned (36), followed by the general public (23), while low-income groups and children are less prominently highlighted (8 and 3, respectively).",keyword 'most' near 36 -> 15.19% of total=237 (<=50%),CANDIDATE,UNVERIFIED
barcelona,full,2,Geographic Distribution,CS-4,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs.","constituents (10+45+31+29)=sum 115, total=237: predicted 48.52%, claimed 44%, diff 4.52pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
barcelona,full,2,Geographic Distribution,CS-5,"The absence of per capita density data limits analysis of FSI accessibility, as population sizes vary significantly between districts.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,full,2,Geographic Distribution,CS-5,"For example, while Ciutat Vella’s 45 FSIs may reflect its compact urban layout, the same number in a larger district like Nou Barris would imply a much lower per capita density.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,full,2,Geographic Distribution,CS-5,This underscores the need for census-based metrics to fully assess the equity of FSI distribution across Barcelona’s districts.,"matched forbidden-basis phrase: 'census' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,full,2,Reach and Activity,CS-2,"Among target audiences, elderly individuals are most frequently mentioned (36), followed by the general public (23), while low-income groups and children are less prominently highlighted (8 and 3, respectively).",keyword 'most' near 36 -> 15.19% of total=237 (<=50%),CANDIDATE,UNVERIFIED
barcelona,full,3,Geographic Distribution,CS-4,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs.","constituents (10+45+31+29)=sum 115, total=237: predicted 48.52%, claimed 44%, diff 4.52pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
barcelona,full,3,Geographic Distribution,CS-5,"The absence of per capita density data limits analysis of FSI accessibility, as population sizes vary significantly between districts.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,full,3,Geographic Distribution,CS-5,"For example, while Ciutat Vella’s 45 FSIs may reflect its compact urban layout, the same number in a larger district like Nou Barris would imply a much lower per capita density.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,full,3,Geographic Distribution,CS-5,This underscores the need for census-based metrics to fully assess the equity of FSI distribution across Barcelona’s districts.,"matched forbidden-basis phrase: 'census' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,full,3,Reach and Activity,CS-2,"Among target audiences, elderly individuals are most frequently mentioned (36), followed by the general public (23), while low-income groups and children are less prominently highlighted (8 and 3, respectively).",keyword 'most' near 36 -> 15.19% of total=237 (<=50%),CANDIDATE,UNVERIFIED
barcelona,b1,1,Geographic Distribution,CS-5,"This pattern suggests that urban density correlates with FSI prevalence, though the data gap regarding FSI density per capita—due to the absence of census population data—prevents a more precise analysis of equity in access.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,b1,1,Geographic Distribution,CS-5,"This pattern suggests that urban density correlates with FSI prevalence, though the data gap regarding FSI density per capita—due to the absence of census population data—prevents a more precise analysis of equity in access.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,b1,2,Geographic Distribution,CS-4,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.","constituents (10+45+31+29)=sum 115, total=237: predicted 48.52%, claimed 44%, diff 4.52pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
barcelona,b1,2,Geographic Distribution,CS-5,"Conversely, the low numbers in Nou Barris (7) and Sant Andreu (6) may indicate limited access to resources or lower participation rates, though this remains unverified due to the absence of per-capita density data.","matched forbidden-basis phrase: 'per-capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,b1,2,Types of Food Sharing Initiatives,CS-2,"Community gardens (41, 17.3%) and food-sharing programs (33, 13.9%) constitute the next most common types, reflecting a mix of structured and informal efforts.",keyword 'most' near 13.9% -> 13.90% of total=237 (<=50%),CANDIDATE,UNVERIFIED
barcelona,b1,3,Geographic Distribution,CS-4,"Barcelona hosts 237 Food Sharing Initiatives (FSIs) across 10 postal districts, with the highest concentrations in Ciutat Vella (45), Sants-Montjuïc (31), and Eixample (29), which together account for 44% of all FSIs in the city.","constituents (10+45+31+29)=sum 115, total=237: predicted 48.52%, claimed 44%, diff 4.52pp (tol 0.55pp)",CANDIDATE,UNVERIFIED
barcelona,b1,3,Geographic Distribution,CS-5,"Conversely, the low numbers in Nou Barris (7) and Sant Andreu (6) may indicate limited access to resources or lower participation rates, though this remains unverified due to the absence of per-capita density data.","matched forbidden-basis phrase: 'per-capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
barcelona,b1,3,Types of Food Sharing Initiatives,CS-2,"Community gardens (41, 17.3%) and food-sharing programs (33, 13.9%) constitute the next most common types, reflecting a mix of structured and informal efforts.",keyword 'most' near 13.9% -> 13.90% of total=237 (<=50%),CANDIDATE,UNVERIFIED
brighton,full,1,Geographic Distribution,CS-5,"The absence of per capita FSI density data, due to reliance on census population figures, limits deeper analysis of equity in initiative distribution.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,full,1,Geographic Distribution,CS-5,"The absence of per capita FSI density data, due to reliance on census population figures, limits deeper analysis of equity in initiative distribution.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,full,2,Geographic Distribution,CS-5,"BN3’s low count may indicate limited access to infrastructure or lower participation rates, though further analysis is hindered by the absence of per capita FSI density data, which requires census population figures.","matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,full,2,Geographic Distribution,CS-5,"BN3’s low count may indicate limited access to infrastructure or lower participation rates, though further analysis is hindered by the absence of per capita FSI density data, which requires census population figures.","matched forbidden-basis phrase: 'census population' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
brighton,full,2,Geographic Distribution,CS-5,The lack of per capita data also limits understanding of whether BN2’s high count reflects proportionate engagement or overrepresentation relative to its population.,"matched forbidden-basis phrase: 'per capita' (src/phase_5/text_synthesizer.py:38,109)",CANDIDATE,UNVERIFIED
