item_id,city,section,raw_number,sentence,evidence_excerpt,n_candidates,candidate_slots,MY_LABEL,MY_NOTE,SECONDS_SPENT
C01,brighton,Geographic Distribution,8,"BN2’s 46 FSIs far exceed BN1’s 22 and BN3’s 8, reflecting a stark contrast in initiative density between high- and low-density districts.",exact match to evidence value 8,4,district_counts.BN3=8 | top_districts[2][1]=8 | type_counts.food_bank=8 | type_counts.community_garden=8,CORRECT_SLOT,OK - the claim matches candidate slots district_counts.BN3 slot and and top_districts[2][1] slot,295
C02,dublin,Digital Presence and Accessibility,4,"Only 4 FSIs provide detailed operating hours or frequency information, a minimal proportion that may limit transparency for potential participants.",exact match to evidence value 4,2,n_hours_listed=4 | district_counts.Dublin 7=4,CORRECT_SLOT,OK - the claim matches n_hours_listed slot,103
C03,dublin,Reach and Activity,69,"Dublin hosts 69 Food Sharing Initiatives (FSIs), categorized into 22 high-activity, 20 medium-activity, and 27 low-activity groups, reflecting a broad spectrum of engagement levels.",exact match to evidence value 69,1,total=69,CORRECT_SLOT,OK,22
C04,barcelona,Reach and Activity,8,"Among target audiences, elderly individuals are prioritized by 36 FSIs, significantly more than the 23 FSIs targeting the general public, 8 focusing on low-income groups, and only 2 addressing students or children.",exact match to evidence value 8,3,n_ngo_formal=8 | type_counts.food_swapping=8 | audience_counts.low-income=8,CORRECT_SLOT,OK - the claim matches audience_counts.low-income slot,121
C05,dublin,Notable Initiatives,22,"The data also reveals that 22 high-popularity FSIs may benefit from localized networks or partnerships, enhancing their reach compared to less prominent counterparts.",exact match to evidence value 22,2,n_volunteer=22 | pop_counts.high=22,CORRECT_SLOT,OK - the claim matches pop_counts.high slot,79
C06,brighton,Operational and Funding Models,1,"Council-supported initiatives account for 6 (8%), while government-funded and NGO-led FSIs are minimal, at 2 (3%) and 1 (1%) respectively, highlighting a lack of formal institutional backing.",exact match to evidence value 1,3,n_ngo=1 | type_counts.other=1 | level_counts.ngo_led=1,CORRECT_SLOT,OK - the claim matches n_ngo slot and level_counts.ngo_led slot,77
C07,london,Geographic Distribution,22,"London hosts 106 Food Sharing Initiatives (FSIs) across 22 postal districts, with Westminster leading at 33 initiatives, followed by Tower Hamlets (10) and Lambeth (7), reflecting the highest concentrations in the city.",exact match to evidence value 22,2,district_count=22 | type_counts.unknown=22,CORRECT_SLOT,OK - the claim matches district_count slot,42
C08,barcelona,Notable Initiatives,105,"Additionally, 105 FSIs actively organize events, suggesting a significant emphasis on public participation and outreach in the city’s food sharing landscape.",exact match to evidence value 105,1,n_events=105,CORRECT_SLOT,OK,26
C09,brighton,Digital Presence and Accessibility,35,"Similarly, 35 FSIs operate from physical locations, highlighting a balanced approach between digital and in-person engagement.",exact match to evidence value 35,2,n_online=35 | n_physical=35,CORRECT_SLOT,OK - the claim matches n_physical slot,59
C10,dublin,Geographic Distribution,15,"Dublin hosts 69 Food Sharing Initiatives (FSIs) across 18 postal districts, with the highest concentration found in Dublin 2, which alone accounts for 15 FSIs, followed by Dublin 1 (12) and Dublin 12 (5).",exact match to evidence value 15,4,n_crowdfund=15 | top_districts[0][1]=15 | district_counts.Dublin 2=15 | audience_counts.students=15,CORRECT_SLOT,OK - the claim matches top_districts[0][1] slot and district_counts.Dublin 2 slot,110
C11,barcelona,Operational and Funding Models,9,"Of these, 74 are community-led grassroots efforts, 46 are NGO-led, and 9 are government-funded, highlighting a strong reliance on local and non-profit models.",exact match to evidence value 9,2,n_govt=9 | level_counts.government_funded=9,CORRECT_SLOT,OK,47
C12,barcelona,Digital Presence and Accessibility,237,"Barcelona hosts 237 Food Sharing Initiatives (FSIs), all of which maintain a digital presence as evidenced by website scraping data.",exact match to evidence value 237,1,total=237,CORRECT_SLOT,OK,11
C13,milan,Operational and Funding Models,21,"Of these, 63 are NGO-led, representing the largest single category, followed by 21 community-led grassroots initiatives and 14 government-funded programs.",exact match to evidence value 21,2,n_community=21 | level_counts.community_led=21,CORRECT_SLOT,OK,37
C14,milan,Notable Initiatives,92,"The data reveals contrasts between FSIs with educational components and those prioritizing event-based activities: only 16.3% (24/147) integrate educational programs, compared to 62.6% (92/147) that organize events, implying a broader focus on immediate engagement over long-term behavioral change.",exact match to evidence value 92,1,n_events=92,CORRECT_SLOT,OK,49
C15,london,Types of Food Sharing Initiatives,17.0%,"The absence of clear leadership in the ""unknown"" category (22, 20.8%) may reflect underdocumented or informal efforts, whereas structured programs like food_banks (17, 16.0%) and community_gardens (18, 17.0%) demonstrate more consistent organisational frameworks.",exact match to evidence value 17,4,n_ngo=17 | level_counts.ngo_led=17 | type_counts.food_bank=17 | type_pct.community_garden=17,CORRECT_SLOT,OK - the claim matches type_pct.community_garden,64
C16,barcelona,Geographic Distribution,6,"These three districts, classified as ""green"" (high-density), collectively host 105 FSIs, reflecting a stark contrast with the ""red"" (low-density) districts of Les Corts (11), Nou Barris (7), and Sant Andreu (6), which together host only 24 FSIs.",exact match to evidence value 6,3,n_council=6 | district_counts.Sant Andreu=6 | level_counts.council_supported=6,CORRECT_SLOT,OK - the claim matches level_counts.council_supported slot,43
C17,milan,Types of Food Sharing Initiatives,34.0%,"Milan hosts 147 Food Sharing Initiatives (FSIs), with the largest category being ""other"" initiatives (50, 34.0%), followed by food banks (26, 17.7%) and community gardens (17, 11.6%).",exact match to evidence value 34,1,type_pct.other=34,CORRECT_SLOT,OK,27
C18,london,Reach and Activity,29,"Target audiences vary significantly, with 72 FSIs addressing the general public, 62 targeting elderly individuals, 27 focusing on low-income populations, 29 on students, and 25 on children.",exact match to evidence value 29,1,audience_counts.students=29,CORRECT_SLOT,OK,32
