section,summary,evidence
1. Inventory,barcelona: no raw_urls.csv on disk on this branch (multilingual),"config/barcelona.yaml declares raw_urls_file: data/barcelona/raw_urls.csv, but that file does not exist in the working tree on this branch. `git show main:data/barcelona/raw_urls.csv` (commit d80cd64) is 0-diff byte-identical to the current data/barcelona/urls.csv (262 lines incl. header). urls.csv is used here as the raw-seed proxy for Barcelona only, per user confirmation."
2. Attrition ledger,barcelona: count INCREASES from 2_cleaned (237) to 4_scraped_files (912),"analysis/tables/02_attrition_ledger.csv, row city=barcelona"
2. Attrition ledger,barcelona: count INCREASES from 5_graphrag_docs (196) to 6_fsi_enriched (237),"analysis/tables/02_attrition_ledger.csv, row city=barcelona"
2. Attrition ledger,brighton: count INCREASES from 5_graphrag_docs (73) to 6_fsi_enriched (76),"analysis/tables/02_attrition_ledger.csv, row city=brighton"
2. Attrition ledger,brighton: data/brighton/raw/ contains 0 files -- 'successfully scraped' stage is empty,data/brighton/raw/ (directory empty or missing) vs 76 cleaned URLs
2. Attrition ledger,dublin: count INCREASES from 5_graphrag_docs (58) to 6_fsi_enriched (69),"analysis/tables/02_attrition_ledger.csv, row city=dublin"
2. Attrition ledger,dublin: data/dublin/raw/ contains 0 files -- 'successfully scraped' stage is empty,data/dublin/raw/ (directory empty or missing) vs 69 cleaned URLs
2. Attrition ledger,london: count INCREASES from 2_cleaned (106) to 4_scraped_files (540),"analysis/tables/02_attrition_ledger.csv, row city=london"
2. Attrition ledger,milan: count INCREASES from 5_graphrag_docs (142) to 6_fsi_enriched (147),"analysis/tables/02_attrition_ledger.csv, row city=milan"
2. Attrition ledger,milan: data/milan/raw/ contains 0 files -- 'successfully scraped' stage is empty,data/milan/raw/ (directory empty or missing) vs 147 cleaned URLs
4c. Granularity collapse,barcelona: 21 rows share one identical coordinate pair,"analysis/tables/04c_granularity_collapse.csv, row city=barcelona"
4c. Granularity collapse,brighton: 28 rows share one identical coordinate pair,"analysis/tables/04c_granularity_collapse.csv, row city=brighton"
4c. Granularity collapse,dublin: 5 rows share one identical coordinate pair,"analysis/tables/04c_granularity_collapse.csv, row city=dublin"
4c. Granularity collapse,london: 28 rows share one identical coordinate pair,"analysis/tables/04c_granularity_collapse.csv, row city=london"
4c. Granularity collapse,milan: 7 rows share one identical coordinate pair,"analysis/tables/04c_granularity_collapse.csv, row city=milan"
4d. Plausibility,"barcelona: out-of-bbox point at (41.51, 2.36) -- url=https://fundacioferrersustainability.org/es/green-for-good/el-jardi-fenix","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 41.51 deg N, 2.36 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"barcelona: out-of-bbox point at (41.28, 1.98) -- url=https://www.fundacionausolan.org/project/stop-hambre","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 41.28 deg N, 1.98 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"barcelona: out-of-bbox point at (41.71, 2.42) -- url=https://www.kalart.org/es/descubre-nuestro-jardin-comunitario-cerca-de-barcelona","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 41.71 deg N, 2.42 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"barcelona: out-of-bbox point at (41.69, 1.97) -- url=https://www.lesrefardes.coop/es/quienes-somos/somos-red","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 41.69 deg N, 1.97 deg E -- temperate latitude band, Europe/North Africa/Middle East longitudes"
4d. Plausibility,"london: out-of-bbox point at (50.43, -3.68) -- url=https://transitiontogether.org.uk/eat-grow-share-communities-building-food-resilience","falls_inside_bbox_of=none of the other 4 listed cities' bboxes; 50.43 deg N, 3.68 deg W -- high-latitude latitude band, Europe/North Africa/Middle East longitudes"
